Country,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,CO2 Megatons
Uzbekistan,0.16289158740698803,1.549209015814088,0.09995186274907698,0.0,0.06045710027681968,0.00013766530612244898,108.23504675876262
Iran,3.3111094359037003,8.39167648502691,0.07440051455260915,0.05620180662428906,0.18803752217732742,0.008654566024925734,678.2312160180668
Iraq,1.2888980495484381,0.748691485369116,0.0,0.0,0.021855051232653064,0.003344334367346939,169.95404427944
Israel,0.42285375669278735,0.40674600000000005,0.16758251629666357,0.0,0.0,0.050557900590506064,64.45709564514206
Kuwait,0.7609428556334862,0.7432272951877525,0.0012917285538938115,0.0,0.0,0.0015164145690696248,91.57158826540925
Oman,0.4218148237918321,0.9326276467234242,0.013573437562015737,0.0,0.0,0.0018301669193580635,80.43819444874039
Qatar,0.45136474890519424,1.2593499935204693,0.0,0.0,0.0,0.0010942881959183674,87.6553927794571
Saudi Arabia,6.511209693522857,4.035602087294056,0.004491033958539922,0.0,0.0,0.009218742721813715,570.8446712322345
United Arab Emirates,1.5117059444843612,2.5063024881284472,0.10844321781355747,0.014421922464152945,0.0,0.049374069489100066,245.9008978669028
Algeria,0.72451746369,1.550934,0.017291484,0.0,0.0004440816326530612,0.005400032653061224,148.5652439511034
Egypt,1.3319215489806153,2.080947963272196,0.03140889660317726,0.0,0.11669622474710205,0.08601726654298082,204.34407128668295
Morocco,0.4986859142655019,0.027110172690477004,0.2800773929634398,0.0,0.010187998173441536,0.06191515086721458,62.75483857118347
South Africa,1.0164368598876867,0.14583421717522843,3.4824753105040585,0.1381900679538966,0.00443382549478457,0.11453091233230205,434.5428943248277
Australia,1.8297987282092316,1.4723494674352713,1.6887405801840414,0.0,0.12909137229514323,0.4486085030119107,372.2776972751678
Bangladesh,0.3314424574016164,1.095651243567839,0.15458086429177387,0.0,0.006223100096783673,0.0037382903618173365,97.9820722483631
China,28.499239596028715,11.900879150442478,82.27046217740171,3.2524538775510203,11.74159927130585,7.79136082179369,9899.334720869372
China Hong Kong SAR,0.6123305949014325,0.177993315,0.13763,0.0,0.0,0.0012911745914151959,68.19736922810935
India,9.021226026942973,2.1456300132902637,17.53670246605794,0.3962375209795918,1.4533913092112196,1.4305812690127198,2302.31520891627
Indonesia,2.8070611321939394,1.495019657693269,3.2558139200716174,0.0,0.17278664534256852,0.36885541113246234,579.931673783179
Japan,6.494134802182881,3.7590746962675494,4.574389165743043,0.381905845038498,0.6886681770685819,1.1319431244863651,1026.9565007921406
Malaysia,1.3772643740781498,1.3734792863023269,1.1367053769132678,0.0,0.1803233218147281,0.04482863459936856,256.02585667144325
New Zealand,0.30124384037397967,0.1641818568234347,0.06129619262612051,0.0,0.21520136378432864,0.09854011568585454,34.14551369964934
Pakistan,0.8826771966094881,1.4843816094545323,0.6215235555645572,0.0829952169869318,0.35781863681152315,0.04480039529062668,196.04430041628117
Philippines,0.7483570899759986,0.13834202844137403,0.7277482441355094,0.0,0.06387687079183674,0.14667445102102739,127.4025866137092
Singapore,2.9340996992787782,0.45354097927521,0.019667899320068724,0.0,0.0,0.00865520254090253,211.0144316132997
South Korea,4.903856141681003,2.0393253846000006,3.0290660640000002,1.4226929669224486,0.03444280267755102,0.35815445401918644,577.8111526738396
Sri Lanka,0.2059872864219894,0.0,0.0663956188690126,0.0,0.044197154929281814,0.01006224051524239,20.847136053503295
Taiwan,1.8893145986422695,0.8958406113909686,1.6342446996524223,0.2792407068786939,0.026840341394285715,0.09306373178505567,275.9204526129901
Thailand,2.3881912710290663,1.6867051309980687,0.7278538585613448,0.0,0.0403212622367347,0.27557233940220016,277.14904459283576
Vietnam,0.9772651091603997,0.31365356399999994,2.101594479074803,0.0,0.6125210698172859,0.08396624602908438,283.93171927475055
